Source,Station,Latitude,Longitude,Region,Date,Datetime,DissAmmonia_Sign,DissAmmonia,DissNitrateNitrite_Sign,DissNitrateNitrite,DissOrthophos_Sign,DissOrthophos,Chlorophyll_Sign,Chlorophyll,Microcystis
USGS_CAWSC,USGS-11337190,38.0521424,-121.6888428,Lower SJ,2021-07-27,2021-07-27 08:05:00,< (estimated),0.01,=,0.07,=,0.078,=,6,NA
USGS_CAWSC,USGS-11455276,38.3078583,-121.6924278,Cache/Liberty,2020-06-09,2020-06-09 14:47:00,=,0.01,< (estimated),0.04,=,0.253,=,0.8,NA
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175,OMR,2020-08-18,2020-08-18 13:00:00,=,NA,=,NA,=,NA,=,4.2,NA
USGS_CAWSC,USGS-11313405,37.96992306,-121.572174,OMR,2021-07-28,2021-07-28 15:45:00,< (estimated),0.01,=,0.04,=,0.083,=,15.2,NA
USGS_CAWSC,USGS-11337190,38.0521424,-121.6888428,Lower SJ,2021-04-13,2021-04-13 10:15:00,< (estimated),0.01,=,0.38,=,0.059,=,2.5,NA
USGS_CAWSC,USGS-11455478,38.093252,-121.7371772,Lower Sac,2021-07-13,2021-07-13 09:30:00,=,0.03,=,0.16,=,0.083,=,NA,NA
USGS_CAWSC,USGS-11455478,38.093252,-121.7371772,Lower Sac,2020-08-18,2020-08-18 17:00:00,=,0.04,=,0.183,=,0.074,=,1,NA
USGS_CAWSC,USGS-11455146,38.32885,-121.6675306,Cache/Liberty,2021-08-31,2021-08-31 14:02:00,< (estimated),0.01,< (estimated),0.01,=,0.099,=,4.5,NA
USGS_CAWSC,USGS-11455143,38.3354111,-121.658186,Cache/Liberty,2021-06-08,2021-06-08 13:36:00,< (estimated),0.01,=,0.01,=,0.153,=,4,NA
USGS_CAWSC,USGS-11455478,38.093252,-121.7371772,Lower Sac,2020-12-15,2020-12-15 09:15:00,=,0.12,=,0.36,=,0.07,=,NA,NA
USGS_CAWSC,USGS-11455315,38.2430111,-121.684286,Cache/Liberty,2021-07-27,2021-07-27 13:05:00,< (estimated),0.01,=,0.04,=,0.068,=,1.8,NA
USGS_CAWSC,USGS-11455142,38.34166667,-121.6438889,Cache/Liberty,2021-09-09,2021-09-09 09:15:00,< (estimated),0.01,=,0.07,=,0.087,=,5.6,NA
USGS_CAWSC,USGS-11336790,38.09638889,-121.496111,East Delta,2021-10-05,2021-10-05 12:21:00,=,0.03,=,0.09,=,0.049,=,2.3,NA
USGS_CAWSC,USGS-11455315,38.2430111,-121.684286,Cache/Liberty,2021-04-05,2021-04-05 12:25:00,=,0.1,=,0.254,=,0.068,=,35.5,NA
USGS_CAWSC,USGS-11455385,38.19395556,-121.6580028,Cache/Liberty,2021-04-29,2021-04-29 12:30:00,=,NA,=,0.18,=,NA,=,NA,NA
USGS_CAWSC,USGS-11455142,38.34166667,-121.6438889,Cache/Liberty,2020-06-24,2020-06-24 12:45:00,=,0.01,=,0.238,=,0.105,=,3,NA
USGS_CAWSC,USGS-11455478,38.093252,-121.7371772,Lower Sac,2020-11-03,2020-11-03 16:15:00,=,0.06,=,0.25,=,0.07,=,NA,NA
USGS_CAWSC,USGS-11455385,38.19395556,-121.6580028,Cache/Liberty,2021-07-27,2021-07-27 12:35:00,=,0.02,=,0.07,=,0.064,=,1.2,NA
USGS_CAWSC,USGS-11447890,38.25769218,-121.5182865,Upper Sac,2021-07-29,2021-07-29 09:10:00,=,0.02,=,0.15,=,0.029,=,1.6,NA
USGS_CAWSC,USGS-11337190,38.0521424,-121.6888428,Lower SJ,2021-08-04,2021-08-04 08:45:00,< (estimated),0.01,=,0.08,=,0.068,=,8.2,NA
USGS_CAWSC,USGS-11337190,38.0521424,-121.6888428,Lower SJ,2021-06-24,2021-06-24 11:30:00,=,0.03,=,0.17,=,0.082,=,NA,NA
USGS_CAWSC,USGS-11336790,38.09638889,-121.496111,East Delta,2021-05-13,2021-05-13 11:40:00,< (estimated),0.01,< (estimated),0.01,=,0.036,=,18.6,NA
USGS_CAWSC,USGS-11455146,38.32885,-121.6675306,Cache/Liberty,2020-08-31,2020-08-31 14:00:00,=,0.01,< (estimated),0.04,=,0.121,=,2.7,NA
USGS_CAWSC,USGS-11447650,38.45601954,-121.5013437,Upper Sac,2020-08-17,2020-08-17 11:00:00,=,NA,=,NA,=,NA,=,2,NA
USGS_CAWSC,USGS-11455142,38.34166667,-121.6438889,Cache/Liberty,2021-07-01,2021-07-01 11:15:00,< (estimated),0.01,=,0.1,=,0.059,=,3.8,NA
USGS_CAWSC,USGS-11455095,38.47686944,-121.5836417,Cache/Liberty,2020-08-27,2020-08-27 08:45:00,=,0.03,=,0.074,=,0.129,=,4.9,NA
USGS_CAWSC,USGS-11447650,38.45601954,-121.5013437,Upper Sac,2020-10-15,2020-10-15 13:15:00,=,0.02,< (estimated),0.04,=,0.025,=,1.3,NA
USGS_CAWSC,USGS-11455140,38.34916667,-121.6447222,Cache/Liberty,2021-08-17,2021-08-17 11:45:00,< (estimated),0.01,=,0.01,=,0.094,=,1.4,NA
USGS_CAWSC,USGS-11455140,38.34916667,-121.6447222,Cache/Liberty,2020-05-12,2020-05-12 11:45:00,=,0.02,=,0.058,=,0.232,=,0.5,NA
USGS_CAWSC,USGS-11455315,38.2430111,-121.684286,Cache/Liberty,2021-05-25,2021-05-25 11:45:00,< (estimated),0.01,=,0.09,=,0.083,=,2.8,NA
USGS_CAWSC,USGS-11455140,38.34916667,-121.6447222,Cache/Liberty,2021-11-16,2021-11-16 13:00:00,=,0.06,=,0.1,=,0.212,=,1.4,NA
USGS_CAWSC,USGS-11337190,38.0521424,-121.6888428,Lower SJ,2021-08-18,2021-08-18 12:00:00,< (estimated),0.01,=,0.07,=,0.067,=,9.3,NA
USGS_CAWSC,USGS-382010121402301,38.33616667,-121.672925,Cache/Liberty,2021-08-10,2021-08-10 09:02:00,=,NA,< (estimated),0.01,=,NA,=,NA,NA
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175,OMR,2021-09-16,2021-09-16 11:15:00,=,0.02,=,0.09,=,0.084,=,2.4,NA
USGS_CAWSC,USGS-11455136,38.40444444,-121.6145556,Cache/Liberty,2021-09-09,2021-09-09 11:27:00,< (estimated),0.01,=,0.05,=,0.104,=,6.6,NA
USGS_CAWSC,USGS-11455140,38.34916667,-121.6447222,Cache/Liberty,2021-04-22,2021-04-22 14:00:00,=,0.03,=,0.02,=,0.121,=,1.3,NA
USGS_CAWSC,USGS-11455146,38.32885,-121.6675306,Cache/Liberty,2021-07-22,2021-07-22 11:30:00,< (estimated),0.01,< (estimated),0.01,=,0.16,=,1.6,NA
USGS_CAWSC,USGS-11455315,38.2430111,-121.684286,Cache/Liberty,2021-06-08,2021-06-08 11:16:00,< (estimated),0.01,=,0.15,=,0.089,=,NA,NA
USGS_CAWSC,USGS-11455143,38.3354111,-121.658186,Cache/Liberty,2021-08-31,2021-08-31 13:30:00,< (estimated),0.01,< (estimated),0.01,=,0.112,=,2.7,NA
