Date,Name,AvgCI,NonDetect,Low,Moderate,High,VeryHigh,InvalidOrMissing
2021-07-21,Franks Tract,0.0025417651006711408,63,0,1,83,2,17
2021-07-21,Mildred Island,0,24,0,0,0,0,18
2021-07-25,Franks Tract,0.003983153153153153,39,0,0,64,8,55
2021-07-25,Mildred Island,0,22,0,0,0,0,20
2021-07-29,Franks Tract,0.00659738255033557,22,0,0,104,23,17
2021-07-29,Mildred Island,0,17,0,0,0,0,25
2021-07-30,Franks Tract,0.0062775939849624065,12,0,0,104,17,33
2021-08-02,Franks Tract,0.004014563758389262,81,0,0,40,28,17
2021-08-02,Mildred Island,2.8125e-5,14,1,1,0,0,26
2021-08-03,Franks Tract,0.004105035971223021,80,0,0,30,29,27
2021-08-06,Franks Tract,0.0028726744186046514,56,0,0,30,0,80
2021-08-09,Franks Tract,0.004140827586206897,63,0,0,64,18,21
2021-08-09,Mildred Island,0,25,0,0,0,0,17
2021-08-10,Franks Tract,0.0035265771812080537,73,0,0,64,12,17
2021-08-11,Franks Tract,0.0035516535433070865,57,0,0,64,6,39
2021-08-13,Franks Tract,0.0026083969465648857,61,0,0,69,1,35
2021-08-13,Mildred Island,0,12,0,0,0,0,30
2021-08-14,Franks Tract,0.0034753383458646617,54,0,0,71,8,33
2021-08-21,Franks Tract,0.0011165972222222222,105,0,0,39,0,22
2021-08-22,Franks Tract,0.0012534074074074075,92,0,0,43,0,31
2021-08-25,Franks Tract,5.212027027027027e-4,112,0,5,31,0,18
2021-08-25,Mildred Island,0,16,0,0,0,0,26
2021-08-26,Franks Tract,6.108529411764706e-4,103,0,5,28,0,30
2021-08-26,Mildred Island,0,11,0,0,0,0,31
2021-08-29,Franks Tract,4.8048387096774197e-4,104,0,0,20,0,42
2021-08-29,Mildred Island,0,17,0,0,0,0,25
2021-08-30,Franks Tract,3.306923076923077e-4,115,0,0,15,0,36
2021-08-30,Mildred Island,0,12,0,0,0,0,30
2021-09-02,Franks Tract,1.4014084507042254e-4,129,0,0,13,0,24
2021-09-02,Mildred Island,0,13,0,0,0,0,29
2021-09-03,Franks Tract,5.064516129032258e-5,120,0,0,4,0,42
