Date,Name,Non_detect,Low,Moderate,High,Very_high,Invalid_or_missing
2021-05-02,Mildred Island,22,0,0,0,0,20
2021-05-05,Franks Tract,128,0,0,0,0,38
2021-05-05,Mildred Island,26,0,0,0,0,16
2021-05-06,Franks Tract,115,0,0,0,0,51
2021-05-06,Mildred Island,23,0,0,0,0,19
2021-05-09,Franks Tract,116,0,0,0,0,50
2021-05-09,Mildred Island,23,0,0,0,0,19
2021-05-10,Franks Tract,108,0,0,0,0,58
2021-05-10,Mildred Island,16,0,0,0,0,26
2021-05-13,Franks Tract,122,0,0,0,0,44
2021-05-13,Mildred Island,26,0,0,0,0,16
2021-05-14,Franks Tract,111,0,0,0,0,55
2021-05-14,Mildred Island,12,0,0,0,0,30
2021-05-17,Franks Tract,131,0,0,0,0,35
2021-05-17,Mildred Island,18,0,0,0,0,24
2021-05-18,Franks Tract,106,0,0,0,0,60
2021-05-20,Franks Tract,129,0,0,0,0,37
2021-05-21,Franks Tract,137,0,0,0,0,29
2021-05-21,Mildred Island,28,0,0,0,0,14
2021-05-22,Franks Tract,111,0,0,0,0,55
2021-05-24,Franks Tract,136,0,0,0,0,30
2021-05-24,Mildred Island,13,0,0,0,0,29
2021-05-25,Franks Tract,130,0,0,0,0,36
2021-05-25,Mildred Island,23,0,0,0,0,19
2021-05-28,Franks Tract,140,0,0,0,0,26
2021-05-28,Mildred Island,34,0,0,0,0,8
2021-05-29,Franks Tract,123,0,0,0,0,43
2021-05-29,Mildred Island,26,0,0,0,0,16
2021-06-01,Franks Tract,133,0,0,0,0,33
2021-06-01,Mildred Island,29,0,0,0,0,13
2021-06-02,Franks Tract,129,0,0,0,0,37
2021-06-02,Mildred Island,22,0,0,0,0,20
2021-06-05,Franks Tract,118,0,0,0,0,48
2021-06-05,Mildred Island,15,0,0,0,0,27
2021-06-06,Franks Tract,108,0,0,0,0,58
2021-06-06,Mildred Island,14,0,0,0,0,28
2021-06-09,Franks Tract,124,0,0,0,0,42
2021-06-09,Mildred Island,16,0,0,0,0,26
2021-06-10,Franks Tract,103,0,0,0,0,63
2021-06-13,Franks Tract,124,0,0,0,0,42
2021-06-13,Mildred Island,26,0,0,0,0,16
2021-06-14,Franks Tract,111,0,0,0,0,55
2021-06-14,Mildred Island,12,0,0,0,0,30
2021-06-17,Franks Tract,106,0,0,0,0,60
2021-06-17,Mildred Island,20,0,0,0,0,22
2021-06-18,Franks Tract,90,0,0,0,0,76
2021-06-20,Franks Tract,132,0,0,0,0,34
2021-06-21,Franks Tract,130,0,0,0,0,36
2021-06-21,Mildred Island,20,0,0,0,0,22
2021-06-24,Franks Tract,133,0,0,0,0,33
2021-06-24,Mildred Island,21,0,3,2,0,16
2021-06-25,Franks Tract,121,0,0,0,0,45
2021-06-25,Mildred Island,8,0,5,2,0,27
2021-06-28,Franks Tract,129,0,0,0,0,37
2021-06-28,Mildred Island,19,1,4,0,0,18
2021-06-29,Franks Tract,112,0,0,0,0,54
2021-06-29,Mildred Island,6,0,3,2,0,31
2021-07-02,Franks Tract,130,0,0,0,0,36
2021-07-02,Mildred Island,22,0,2,0,0,18
2021-07-06,Franks Tract,125,0,0,3,0,38
2021-07-06,Mildred Island,9,0,9,1,0,23
2021-07-07,Franks Tract,115,2,2,4,0,43
2021-07-07,Mildred Island,11,0,5,3,0,23
2021-07-10,Franks Tract,110,1,7,6,0,42
2021-07-10,Mildred Island,11,0,0,0,0,31
2021-07-11,Franks Tract,41,0,0,20,0,105
2021-07-13,Franks Tract,37,0,2,8,0,119
2021-07-13,Mildred Island,15,0,0,0,0,27
2021-07-14,Franks Tract,56,0,1,45,0,64
2021-07-14,Mildred Island,12,0,0,0,0,30
2021-07-15,Franks Tract,50,0,2,37,0,77
2021-07-17,Franks Tract,76,0,9,44,0,37
2021-07-17,Mildred Island,23,0,0,0,0,19
2021-07-18,Franks Tract,77,0,2,66,0,21
2021-07-18,Mildred Island,12,0,0,0,0,30
2021-07-21,Franks Tract,63,0,1,83,2,17
2021-07-21,Mildred Island,24,0,0,0,0,18
2021-07-25,Franks Tract,39,0,0,64,8,55
2021-07-25,Mildred Island,22,0,0,0,0,20
2021-07-29,Franks Tract,22,0,0,104,23,17
2021-07-29,Mildred Island,17,0,0,0,0,25
2021-07-30,Franks Tract,12,0,0,104,17,33
2021-08-02,Franks Tract,81,0,0,40,28,17
2021-08-02,Mildred Island,14,1,1,0,0,26
2021-08-03,Franks Tract,80,0,0,30,29,27
2021-08-06,Franks Tract,56,0,0,30,0,80
2021-08-09,Franks Tract,63,0,0,64,18,21
2021-08-09,Mildred Island,25,0,0,0,0,17
2021-08-10,Franks Tract,73,0,0,64,12,17
2021-08-11,Franks Tract,57,0,0,64,6,39
2021-08-13,Franks Tract,61,0,0,69,1,35
2021-08-13,Mildred Island,12,0,0,0,0,30
2021-08-14,Franks Tract,54,0,0,71,8,33
2021-08-21,Franks Tract,105,0,0,39,0,22
2021-08-22,Franks Tract,92,0,0,43,0,31
2021-08-25,Franks Tract,112,0,5,31,0,18
2021-08-25,Mildred Island,16,0,0,0,0,26
