Date,Name,mean_pixel_val
2020-09-11,Franks Tract,NA
2020-09-11,Mildred Island,NA
2020-09-12,Franks Tract,NA
2020-09-12,Mildred Island,NA
2020-09-13,Franks Tract,NA
2020-09-13,Mildred Island,NA
2020-09-14,Franks Tract,NA
2020-09-14,Mildred Island,NA
2020-09-15,Franks Tract,NA
2020-09-15,Mildred Island,NA
2020-09-16,Franks Tract,0
2020-09-16,Mildred Island,91.92546844482422
2020-09-17,Franks Tract,0
2020-09-17,Mildred Island,NA
2020-09-18,Franks Tract,NA
2020-09-18,Mildred Island,NA
2020-09-19,Franks Tract,0
2020-09-19,Mildred Island,0
2020-09-20,Franks Tract,0
2020-09-20,Mildred Island,0
2020-09-21,Franks Tract,0
2020-09-21,Mildred Island,0
2020-09-22,Franks Tract,NA
2020-09-22,Mildred Island,NA
2020-09-23,Franks Tract,0.8295187950134277
2020-09-23,Mildred Island,0
2020-09-24,Franks Tract,0
2020-09-24,Mildred Island,0
2020-09-25,Franks Tract,NA
2020-09-25,Mildred Island,NA
2020-09-26,Franks Tract,NA
2020-09-26,Mildred Island,NA
2020-09-27,Franks Tract,0
2020-09-27,Mildred Island,0
2020-09-28,Franks Tract,2.6666667461395264
2020-09-28,Mildred Island,0
2020-09-29,Franks Tract,NA
2020-09-29,Mildred Island,NA
2020-09-30,Franks Tract,NA
2020-09-30,Mildred Island,NA
2020-10-01,Franks Tract,NA
2020-10-01,Mildred Island,NA
2020-10-02,Franks Tract,NA
2020-10-02,Mildred Island,NA
2020-10-03,Franks Tract,NA
2020-10-03,Mildred Island,NA
2020-10-04,Franks Tract,NA
2020-10-04,Mildred Island,NA
2020-10-05,Franks Tract,0
2020-10-05,Mildred Island,0
2020-10-06,Franks Tract,0
2020-10-06,Mildred Island,0
2020-10-07,Franks Tract,NA
2020-10-07,Mildred Island,NA
2020-10-08,Franks Tract,NA
2020-10-08,Mildred Island,NA
2020-10-09,Franks Tract,0
2020-10-09,Mildred Island,0
2020-10-10,Franks Tract,0
2020-10-10,Mildred Island,0
2020-10-11,Franks Tract,NA
2020-10-11,Mildred Island,NA
2020-10-12,Franks Tract,20
2020-10-12,Mildred Island,NA
2020-10-13,Franks Tract,1.237345576286316
2020-10-13,Mildred Island,0
2020-10-14,Franks Tract,0
2020-10-14,Mildred Island,0
2020-10-15,Franks Tract,NA
2020-10-15,Mildred Island,NA
2020-10-16,Franks Tract,1.9604145288467407
2020-10-16,Mildred Island,0
2020-10-17,Franks Tract,1.1433771848678589
2020-10-17,Mildred Island,0
2020-10-18,Franks Tract,2.3421051502227783
2020-10-18,Mildred Island,0
2020-10-19,Franks Tract,NA
2020-10-19,Mildred Island,NA
